gene_id,gene_name,chr_hg38,PearsonR,MeanObs,StdObs,PrediXcanR,PearsonRfineTuned
ENSG00000130684,ZNF337,20,0.136,4.77,0.276,,0.128
ENSG00000130770,ATPIF1,1,0.137,5.96,0.284,0.286299,0.144
ENSG00000131669,NINJ1,9,0.135,4.14,0.317,0.328256,-0.098
ENSG00000131697,NPHP4,1,0.145,4.18,0.319,0.304599,0.065
ENSG00000131845,ZNF304,19,0.157,3.38,0.25,0.258459,0.125
ENSG00000131941,RHPN2,19,0.22,3.06,0.55,0.377222,-0.209
ENSG00000132305,IMMT,2,0.209,5.42,0.217,0.201596,-0.166
ENSG00000132313,MRPL35,2,0.19,5.16,0.169,0.382387,0.182
ENSG00000132383,RPA1,17,0.129,5.04,0.172,,-0.137
ENSG00000132394,EEFSEC,3,0.226,2.98,0.273,0.363428,-0.211
ENSG00000132423,COQ3,6,0.209,2.3,0.315,,0.168
ENSG00000132600,PRMT7,16,0.13,4.75,0.315,0.298065,-0.075
ENSG00000132793,LPIN3,20,0.175,2.7,0.622,,0.187
ENSG00000133069,TMCC2,1,0.189,6.53,0.327,0.355976,0.222
ENSG00000133466,C1QTNF6,22,0.246,2.07,0.527,0.483122,0.205
ENSG00000133597,ADCK2,7,0.211,4.14,0.255,0.244939,0.197
ENSG00000133704,IPO8,12,0.332,5.19,0.198,0.537509,0.321
ENSG00000134014,ELP3,8,0.331,4.81,0.171,0.411392,-0.307
ENSG00000134265,NAPG,18,0.21,5.84,0.246,0.358792,0.228
ENSG00000134285,FKBP11,12,0.358,4.55,0.318,0.534663,0.072
ENSG00000134461,ANKRD16,10,0.125,2.97,0.265,,-0.044
ENSG00000134809,TIMM10,11,0.248,3.48,0.306,0.54793,0.353
ENSG00000134987,WDR36,5,0.148,3.96,0.193,0.11929,0.074
ENSG00000135124,P2RX4,12,0.164,2.96,0.261,0.310913,0.189
ENSG00000135535,CD164,6,0.121,5.67,0.25,0.223813,-0.097
ENSG00000135632,SMYD5,2,0.166,4.79,0.2,0.290565,0.13
ENSG00000135686,KLHL36,16,0.178,5.39,0.204,0.18539,0.119
ENSG00000135828,RNASEL,1,0.344,2.76,0.301,0.432269,-0.362
ENSG00000135930,EIF4E2,2,0.19,5.27,0.163,,-0.062
ENSG00000135951,TSGA10,2,0.15,2.58,0.268,0.425791,0.389
ENSG00000136098,NEK3,13,0.214,2.8,0.565,,-0.16
ENSG00000136152,COG3,13,0.121,4.09,0.188,,0.036
