gene_id,gene_name,chr_hg38,PearsonR,MeanObs,StdObs,PrediXcanR,PearsonRfineTuned
ENSG00000144152,FBLN7,2,-0.158,2.61,0.646,0.313292,-0.191
ENSG00000144306,SCRN3,2,-0.142,3.68,0.236,,-0.149
ENSG00000144647,POMGNT2,3,-0.169,4.86,0.242,0.332976,0.239
ENSG00000145736,GTF2H2,5,-0.263,3.16,0.626,0.522167,-0.396
ENSG00000146411,SLC2A12,6,-0.11,2.94,0.454,,0.039
ENSG00000146674,IGFBP3,7,-0.197,3.87,0.721,,-0.009
ENSG00000147316,MCPH1,8,-0.139,3.92,0.156,,-0.199
ENSG00000147421,HMBOX1,8,-0.161,4.63,0.365,,0.123
ENSG00000147576,ADHFE1,8,-0.244,3.5,0.596,0.532715,-0.213
ENSG00000147853,AK3,9,-0.138,5.51,0.348,,-0.113
ENSG00000148300,REXO4,9,-0.144,4.28,0.298,0.312245,0.099
ENSG00000148468,FAM171A1,10,-0.221,6.73,0.219,,-0.198
ENSG00000149600,COMMD7,20,-0.209,4.86,0.184,0.259345,0.178
ENSG00000151348,EXT2,11,-0.282,4.55,0.171,0.255487,-0.301
ENSG00000151657,KIN,10,-0.146,3.33,0.195,,0.106
ENSG00000151689,INPP1,2,-0.247,4.54,0.241,0.310623,-0.247
ENSG00000151694,ADAM17,2,-0.14,3.84,0.288,-0.120932,-0.153
ENSG00000151917,BEND6,6,-0.165,5.02,0.322,0.521133,-0.356
ENSG00000152749,GPR180,13,-0.21,4.18,0.238,,-0.189
ENSG00000153495,TEX29,13,-0.12,1.37,0.645,0.590267,0.116
ENSG00000154319,FAM167A,8,-0.151,4.82,0.509,0.20905,0.012
ENSG00000154479,CCDC173,2,-0.351,1.87,0.519,0.52698,0.491
ENSG00000154803,FLCN,17,-0.219,6.21,0.361,0.260859,-0.188
ENSG00000154898,CCDC144CP,17,-0.185,3.43,0.551,,0.116
ENSG00000154978,VOPP1,7,-0.215,5.83,0.178,,0.013
ENSG00000155085,AK9,6,-0.205,3.35,0.267,0.484804,-0.122
ENSG00000155090,KLF10,8,-0.102,3.02,0.531,,0.034
ENSG00000155393,HEATR3,16,-0.267,3.17,0.257,0.500658,-0.424
ENSG00000155660,PDIA4,7,-0.219,4.24,0.391,0.35786,-0.233
ENSG00000156381,ANKRD9,14,-0.174,5.6,0.377,0.370732,-0.138
ENSG00000156876,SASS6,1,-0.112,1.57,0.324,0.102253,-0.062
ENSG00000157150,TIMP4,3,-0.163,1.64,0.436,0.159462,-0.137
ENSG00000157181,C1orf27,1,-0.094,4.02,0.293,,0.043
ENSG00000157379,DHRS1,14,-0.305,3.17,0.328,0.646462,-0.363
ENSG00000157637,SLC38A10,17,-0.208,4.88,0.308,0.279385,0.109
ENSG00000157693,TMEM268,9,-0.173,5.57,0.286,0.197027,-0.057
ENSG00000157837,SPPL3,12,-0.167,5.33,0.157,0.285245,0.382
ENSG00000157870,FAM213B,1,-0.197,5.48,0.265,0.230514,-0.062
ENSG00000157895,C12orf43,12,-0.099,4.76,0.209,0.370155,-0.197
ENSG00000158234,FAIM,3,-0.238,2.49,0.268,0.399892,-0.214
ENSG00000159063,ALG8,11,-0.329,3.25,0.207,0.35482,0.338
ENSG00000159199,ATP5G1,17,-0.091,4.69,0.302,0.324093,-0.116
ENSG00000159202,UBE2Z,17,-0.32,5.68,0.184,,0.109
ENSG00000159674,SPON2,4,-0.297,1.85,0.819,0.344587,-0.263
ENSG00000160282,FTCD,21,-0.235,1.92,0.805,0.57093,-0.276
ENSG00000160606,TLCD1,17,-0.087,1.58,0.685,,-0.022
ENSG00000160710,ADAR,1,-0.123,7.49,0.15,,-0.075
ENSG00000161551,ZNF577,19,-0.252,3.52,0.363,0.499903,0.256
ENSG00000161618,ALDH16A1,19,-0.144,2.4,0.419,0.470719,-0.384
ENSG00000161638,ITGA5,12,-0.147,3.01,0.645,,-0.089
ENSG00000162377,COA7,1,-0.091,3.97,0.273,0.256036,-0.115
ENSG00000162378,ZYG11B,1,-0.117,6.26,0.26,0.327673,-0.09
ENSG00000162869,PPP1R21,2,-0.188,5.06,0.189,0.368548,-0.276
ENSG00000163161,ERCC3,2,-0.122,5.16,0.173,0.332565,-0.014
ENSG00000163281,GNPDA2,4,-0.172,4.38,0.227,0.441862,-0.003
ENSG00000163291,PAQR3,4,-0.118,4.54,0.284,0.210192,-0.036
ENSG00000163528,CHCHD4,3,-0.155,3.32,0.26,,-0.15
ENSG00000163682,RPL9,4,-0.179,7.87,0.296,0.619576,0.23
ENSG00000163702,IL17RC,3,-0.172,3.99,0.358,0.289087,-0.1
ENSG00000163879,DNALI1,1,-0.2,3.67,0.359,0.5267,-0.059
ENSG00000163913,IFT122,3,-0.189,4.96,0.258,0.434891,0.037
ENSG00000164347,GFM2,5,-0.323,4.12,0.23,0.477132,0.071
ENSG00000164414,SLC35A1,6,-0.396,3.8,0.301,,-0.388
ENSG00000164597,COG5,7,-0.242,4.4,0.195,,-0.222
ENSG00000164880,INTS1,7,-0.25,6.22,0.373,0.596478,0.239
ENSG00000164904,ALDH7A1,5,-0.251,6.29,0.441,,-0.272
ENSG00000165379,LRFN5,14,-0.099,4.94,0.345,-0.091797,-0.101
ENSG00000165733,BMS1,10,-0.22,5.16,0.161,0.359429,0.178
ENSG00000166025,AMOTL1,11,-0.095,4.51,0.229,,-0.072
